Pop	SampSize	CritValue	WeightMean	IndComp	r2	expr2	Nb_LD	Para_LCI	Para_HCI	Jack_LCI	Jack_HCI	eff.df
BAD	37	0.05	24.4	2364653	0.098469	0.038353	2.6	2.6	2.6	2.1	3.1	610
BAD	37	S*	28.7	2754599	0.091969	0.035522	2.7	2.7	2.7	2.3	3.3	585
BEI	80	0.05	71.2	291043	0.01898	0.013765	61.8	60.6	63	48.1	82.5	1530
BEI	80	S*	77.5	2401424	0.59156	0.013447	0.3	0.3	0.3	0	0.9	3
BET	123	0.05	105	1224080	0.014436	0.008821	57.2	56.8	57.6	45.6	73.2	994
BET	123	S*	113.9	3437831	0.013361	0.008703	69.4	69.1	69.7	55.9	88.2	1314
BRL	33	0.05	28.4	2032886	0.039119	0.034679	67.6	66.5	68.8	37.3	218.3	1126
BRL	33	S*	30.7	2955646	0.038784	0.034354	73.1	72.1	74.2	40.9	221.1	1190
CAT	240	0.05	193.7	942962	0.014112	0.00454	32.6	32.5	32.8	28.7	37	1205
CAT	240	S*	222	3665666	0.01133	0.004415	46	45.9	46.2	41.5	51.1	2061
CHE	51	0.05	39.6	1386746	0.054886	0.022658	7.5	7.4	7.5	5.6	9.4	965
CHE	51	S*	46.5	2800512	0.065292	0.022124	3.9	3.9	3.9	3.3	5.7	789
EAG	21	0.05	20.4	2283838	0.675157	0.057197	0.2	0.2	0.2	0.2	0.3	648
EAG	21	S*	20.5	2567335	0.6672	0.056637	0.3	0.3	0.3	0.2	0.3	384
FOR	122	0.05	103.7	180687	0.017143	0.008926	38.4	37.8	38.9	29	51.7	456
FOR	122	S*	119.2	2230786	0.600752	0.008615	0.3	0.3	0.3	0	0.9	3
MAI	29	0.05	24.5	2734041	0.076212	0.041637	6.6	6.6	6.7	3.9	9.8	507
MAI	29	S*	26.1	3158697	0.073005	0.040963	7.4	7.4	7.5	4.7	11	490
MAN	185	0.05	170.6	69756	0.00804	0.005764	144.3	139.1	149.9	116.7	183.7	1950
MAN	185	S*	183.5	2217884	0.687902	0.005545	0.2	0.2	0.2	0	0.8	3
MIR2015	13	0.05	11.6	696606	0.114815	0.109416	55.3	51.5	59.6	11.8	Infinite	434
MIR2015	13	S*	11.8	679921	0.114237	0.108689	53.8	50.2	57.9	11.9	Infinite	442
MIR2016	444	0.05	379.4	765067	0.003967	0.002519	228	226.1	230.1	201.8	259.4	3738
MIR2016	444	S*	393.9	3395878	0.003591	0.002474	296.4	295	297.9	261.1	339.6	4688
MIS	37	0.05	30.4	2411919	0.060181	0.031691	9	9	9.1	7.2	11.1	1578
MIS	37	S*	33.7	3217903	0.057722	0.031131	9.9	9.9	10	7.7	12.6	1141
MUS	53	0.05	47.4	1495934	0.022018	0.020689	248.6	239.5	258.3	172.8	427.8	11658
MUS	53	S*	50	3006380	0.021673	0.020522	287.3	278.9	296.3	190.4	558.4	11183
OCQ2018	86	0.05	74.2	1056338	0.015756	0.012667	105.8	104.3	107.3	79.7	150.2	2155
OCQ2018	86	S*	80.1	2799589	0.015162	0.012492	122.7	121.6	123.9	92.7	174.1	2691
OCQ2019	35	0.05	31.5	1017093	0.042531	0.033174	33.4	33	33.9	19.2	75.2	451
OCQ2019	35	S*	32.7	1736166	0.040611	0.032731	40.1	39.7	40.6	24.2	83.8	677
STE	105	0.05	74.4	1847885	0.045517	0.011061	6.7	6.6	6.7	5.3	7.9	1200
STE	105	S*	91.8	3637974	0.041217	0.010607	8.1	8.1	8.1	6.8	9.5	1158
SWN	38	0.05	25.7	2567710	0.123176	0.037544	1.8	1.8	1.8	1.6	2	1629
SWN	38	S*	30	2538991	0.121131	0.034912	1.9	1.9	1.9	1.7	2.1	1530
TAQ	92	0.05	75.5	1575214	0.018095	0.01173	50.2	49.9	50.5	37.6	69.7	730
TAQ	92	S*	84.8	3498796	0.016742	0.011626	63	62.7	63.3	48.3	85.5	1105
TWO2018	35	0.05	30.2	1968681	0.049267	0.032788	17.9	17.8	18	11.9	28.2	514
TWO2018	35	S*	32.6	2756247	0.047516	0.032499	19.9	19.8	20	13.6	30.6	624
TWO2017	8	0.05	7.4	2129942	0.20259	0.194117	34.6	33	36.3	8.6	Infinite	889
TWO2017	8	S*	7.6	1248010	0.208742	0.192742	17.4	16.8	18	3.3	Infinite	437
